Name,Team,GS,IP,ERA,K%,BB%,H9,raw_fip,ERA_est
Logan Allen,Cleveland Guardians,0,4.0,0.0,0.3684,0.0526,8.96,1.5,4.07
Tanner Andrews,Toronto Blue Jays,0,3.0,0.0,0.0909,0.1818,8.51,4.42,4.26
Mason Barnett,Athletics,0,2.0,0.0,0.1111,0.2222,8.66,5.09,4.28
Ty Blach,Chicago Cubs,0,3.0,0.0,0.2222,0.0,8.51,1.75,4.13
Cam Booser,Tampa Bay Rays,0,2.0,0.0,0.1429,0.0,8.66,2.09,4.18
Gerrit Cole,New York Yankees,2,12.7,0.0,0.2667,0.0667,7.84,1.9,3.75
Carlos Cortes,Athletics,0,1.0,0.0,0.0,0.2,8.8,6.09,4.28
Yovanny Cruz,New York Yankees,0,2.3,0.0,0.3333,0.0,8.61,1.8,4.15
Nick Davila,Seattle Mariners,0,7.3,0.0,0.1379,0.2069,8.17,4.45,4.27
Duncan Davitt,Chicago White Sox,0,1.0,0.0,0.0,0.3333,8.65,6.09,4.28
Daniel Duarte,New York Mets,0,2.3,0.0,0.1429,0.0,8.61,2.23,4.17
Jose Espada,Baltimore Orioles,0,1.0,0.0,0.0,0.0,8.95,3.09,4.23
Lazaro Estrada,Toronto Blue Jays,0,4.0,0.0,0.2143,0.1429,8.21,3.09,4.17
Caleb Ferguson,Cincinnati Reds,0,5.0,0.0,0.3158,0.0,8.52,1.5,4.02
Alec Gamboa,Boston Red Sox,0,1.0,0.0,0.6667,0.0,8.65,1.5,4.2
Joey Gerber,New York Mets,0,2.0,0.0,0.5556,0.1111,8.81,1.5,4.16
Domingo Gonzalez,Seattle Mariners,0,5.7,0.0,0.2083,0.125,8.72,2.91,4.12
Sam Haggerty,Texas Rangers,0,1.0,0.0,0.0,0.0,8.65,6.09,4.28
Austin Hedges,Cleveland Guardians,0,0.3,0.0,0.0,0.0,8.75,3.09,4.24
Welinton Herrera,Colorado Rockies,0,2.3,0.0,0.2,0.1,8.76,2.66,4.19
P.J. Higgins,Cincinnati Reds,0,1.0,0.0,0.3333,0.0,8.65,1.5,4.2
William Kempner,Miami Marlins,0,3.3,0.0,0.3333,0.0,8.61,1.5,4.1
Jared Koenig,Milwaukee Brewers,0,2.3,0.0,0.3077,0.1538,8.91,2.23,4.17
Brooks Kriske,Athletics,0,2.7,0.0,0.1818,0.0909,8.71,2.71,4.18
Adam Macko,Toronto Blue Jays,1,8.0,0.0,0.1875,0.0,8.83,1.96,3.94
Jorge Mateo,Atlanta Braves,0,1.0,0.0,0.0,0.0,8.8,3.09,4.23
Chayce McDermott,Los Angeles Dodgers,0,1.0,0.0,0.25,0.0,8.8,1.5,4.2
Easton McGee,Milwaukee Brewers,0,2.0,0.0,0.1667,0.1667,8.66,3.59,4.23
Reese McGuire,Chicago White Sox,0,1.0,0.0,0.0,0.0,8.65,3.09,4.23
Victor Mederos,Atlanta Braves,0,2.0,0.0,0.0,0.1667,8.51,4.59,4.26
A.J. Minter,New York Mets,0,2.3,0.0,0.5556,0.0,8.76,1.5,4.14
Anthony Molina,Atlanta Braves,0,2.0,0.0,0.0,0.1667,8.51,4.59,4.26
Nate Pearson,Houston Astros,0,3.7,0.0,0.1429,0.1429,8.56,3.63,4.21
Jonathan Pintaro,New York Mets,0,3.7,0.0,0.25,0.0833,8.26,2.27,4.13
Eduardo Rivera,Boston Red Sox,0,3.3,0.0,0.3,0.0,8.46,1.5,4.1
Jake Rogers,Detroit Tigers,0,1.3,0.0,0.1667,0.0,8.9,1.59,4.19
Yacksel Ríos,Chicago Cubs,0,1.7,0.0,0.4,0.0,8.56,1.5,4.17
Javier Sanoja,Miami Marlins,0,2.0,0.0,0.1429,0.0,8.66,2.09,4.18
Alimber Santa,Houston Astros,0,5.0,0.0,0.2667,0.0,8.07,1.5,4.02
Dylan Smith,San Francisco Giants,0,0.7,0.0,0.0,0.3333,8.7,7.59,4.29
Drew Sommers,Detroit Tigers,0,1.0,0.0,0.25,0.25,8.65,4.09,4.25
Brock Stewart,Los Angeles Dodgers,0,2.0,0.0,0.4286,0.1429,8.51,1.59,4.16
Hunter Stratton,Atlanta Braves,0,1.0,0.0,0.3333,0.0,8.8,1.5,4.2
Garrett Stubbs,Philadelphia Phillies,0,1.0,0.0,0.0,0.0,8.65,3.09,4.23
Jonah Tong,New York Mets,0,6.7,0.0,0.1071,0.1786,8.27,4.44,4.27
Logan VanWey,Houston Astros,0,3.0,0.0,0.5,0.0,8.51,1.5,4.11
Vince Velasquez,Chicago Cubs,0,2.3,0.0,0.125,0.0,8.61,2.23,4.17
Cameron Weston,Baltimore Orioles,0,1.0,0.0,0.3333,0.3333,8.65,4.09,4.25
Louis Varland,Toronto Blue Jays,0,31.0,0.29,0.35,0.075,7.7,1.5,2.83
Aroldis Chapman,Boston Red Sox,0,18.7,0.48,0.3472,0.0972,7.41,1.69,3.45
